month,Fortified,Fruit Wine,Cider,Sake,Sparkling,White,Wine Offer,Rose,Red,Gift Sets,Special Order
Jan 2020,200573.71999999997,332519.45999999996,233988.2,202618.38,2093262.039999996,4852208.309999995,20508.19,791662.9299999997,8390086.379999995,8201.47,760800.710000001
Feb 2020,176986.10999999993,258854.39,192805.41999999998,168467.2199999999,1247731.5799999984,4057178.8899999955,23515.93,701374.4299999998,7227562.729999994,2954.65,552830.81
Mar 2020,161877.0199999999,311269.05,197220.77000000002,130836.23,1049941.069999999,4496518.339999994,17605.27,879210.7099999996,7191723.969999994,77.22,332533.47
Apr 2020,159160.43000000002,378198.07,195302.12,156651.76,1129098.4799999967,4421905.379999995,5753.38,1007919.7099999988,5985662.379999992,416.22,72236.1200000001
May 2020,128578.34999999999,310343.82,184434.72999999998,113531.7699999999,1058759.4399999983,3752528.219999995,3677.49,895746.2999999997,4647205.549999995,3468.5,120931.28
June 2020,139391.12999999998,341287.1399999999,203354.2,146783.71000000002,1076461.8799999987,4275709.969999997,3421.93,1111309.2799999996,5080071.999999995,5301.71,221820.62
July 2020,140357.27,305210.08999999997,223220.27000000002,144988.29,1219393.0799999987,4629875.479999998,2558.99,1208047.0699999998,5168777.879999994,4334.48,288025.22
Aug 2020,123173.65,255619.01,200024.61,139006.22,1027376.4699999989,4028638.5799999963,645.59,1047975.1399999999,4617811.289999995,3373.13,183496.47
Sep 2020,143575.41,256215.55,201235.94,122306.58,1082584.0500000003,4019007.0499999975,974.37,924303.5299999999,5304141.679999995,19813.33,199888.82
