month,Vodka,Gin,Rum,Tequila,Brandy,Whiskey,Liqueurs,Schnapps,Premixed,Gift Sets,Special Order
Jan 2020,6551929.14,791885.009999999,2060090.3599999999,2810417.849999998,557622.42,9779937.489999996,1539314.3099999984,214121.6099999998,419821.75,189460.9,105987.07
Feb 2020,5233719.939999999,670523.8199999986,1616838.459999999,2260481.3599999985,406681.96000000095,8101141.739999998,1216698.349999999,159517.17999999982,337719.2699999999,51615.36,135930.47
Mar 2020,6596167.180000009,857452.5199999987,2009973.629999999,2387113.9399999976,416278.66000000003,9704613.450000003,1357869.749999999,161709.9199999999,447840.09,118139.79,39221.11
Apr 2020,6764331.440000011,925993.1499999987,2361154.959999998,2566941.1299999976,523897.76,9814626.799999997,1535268.7800000003,182466.95999999958,601666.5799999989,334487.140000002,20812.09
May 2020,5571975.299999998,806201.8799999978,1975571.2699999989,2636839.4499999974,426960.010000001,7900342.269999998,1307901.379999998,157744.55999999985,573765.7399999991,97402.7499999997,46137.7
June 2020,6097128.16,861856.8099999977,2065105.3,2734838.8799999966,456041.7700000001,8650185.219999999,1370830.9999999986,163569.16999999998,583667.13,145864.069999999,53105.59
July 2020,6421815.82,901257.3899999977,2204318.4400000004,2828692.5899999975,475334.809999999,8590385.649999999,1387297.369999998,170824.9899999999,626390.299999999,110595.76,52680.54
Aug 2020,5510345.749999998,772876.7399999975,1787061.9299999988,2517108.989999998,392198.46,7353512.909999996,1185038.659999999,155224.55,498710.18,352696.630000002,55195.24
Sep 2020,5493010.129999999,750970.0099999979,1753387.42,2466774.759999999,425150.91,7749301.9399999995,1180894.549999998,151640.25999999998,470710.4,186483.96,38714.62
